leadNumber,customerId,primaryContactId,leadName,dealSize,city,state,Country
LeadNumber1,300100188392213,123,LeadName1,1,RWS,CA,USA
LeadNumber2,123,123,LeadName2,1,RWS,CA,USA
LeadNumber3,300100188392205,123,LeadName3,1,RWS,CA,USA
LeadNumber4,300100188392205,123,LeadName4,2,RWS,CA,USA
LeadNumber5,300100188392205,123,LeadName5,3,RWS,CA,USA
LeadNumber6,300100188392205,123,LeadName6,4,RWS,CA,USA
LeadNumber7,300100188392205,123,LeadName7,5,RWS,CA,USA
LeadNumber8,300100188392205,123,LeadName8,6,RWS,CA,USA
LeadNumber9,300100188392205,123,LeadName9,7,RWS,CA,USA
LeadNumber10,300100188392205,123,LeadName10,8,RWS,CA,USA
LeadNumber11,300100188392205,123,LeadName11,9,RWS,CA,USA
LeadNumber12,300100188392205,123,LeadName12,10,RWS,CA,USA
LeadNumber13,300100188392205,123,LeadName13,11,RWS,CA,USA
LeadNumber14,300100188392205,123,LeadName14,12,RWS,CA,USA
LeadNumber15,300100188392205,123,LeadName15,13,RWS,CA,USA
LeadNumber16,300100188392205,123,LeadName16,14,RWS,CA,USA
LeadNumber17,300100188392205,123,LeadName17,15,RWS,CA,USA
LeadNumber18,300100188392205,123,LeadName18,16,RWS,CA,USA
LeadNumber19,300100188392205,123,LeadName19,17,RWS,CA,USA
LeadNumber20,300100188392205,123,LeadName20,18,RWS,CA,USA
LeadNumber21,300100188392205,123,LeadName21,19,RWS,CA,USA
LeadNumber22,300100188392205,123,LeadName22,20,RWS,CA,USA
LeadNumber23,300100188392205,123,LeadName23,21,RWS,CA,USA
LeadNumber24,300100188392205,123,LeadName24,22,RWS,CA,USA
LeadNumber25,300100188392205,123,LeadName25,23,RWS,CA,USA
LeadNumber26,300100188392205,123,LeadName26,24,RWS,CA,USA
LeadNumber27,300100188392205,123,LeadName27,25,RWS,CA,USA
LeadNumber28,300100188392205,123,LeadName28,26,RWS,CA,USA
LeadNumber29,300100188392205,123,LeadName29,27,RWS,CA,USA
LeadNumber30,300100188392205,123,LeadName30,28,RWS,CA,USA
LeadNumber31,300100188392205,123,LeadName31,29,RWS,CA,USA
LeadNumber32,300100188392205,123,LeadName32,30,RWS,CA,USA
LeadNumber33,300100188392205,123,LeadName33,31,RWS,CA,USA
LeadNumber34,300100188392205,123,LeadName34,32,RWS,CA,USA
LeadNumber35,300100188392205,123,LeadName35,33,RWS,CA,USA
LeadNumber36,300100188392205,123,LeadName36,34,RWS,CA,USA
LeadNumber37,300100188392205,123,LeadName37,35,RWS,CA,USA
LeadNumber38,300100188392205,123,LeadName38,36,RWS,CA,USA
LeadNumber39,300100188392205,123,LeadName39,37,RWS,CA,USA
LeadNumber40,300100188392205,123,LeadName40,38,RWS,CA,USA
LeadNumber41,300100188392205,123,LeadName41,39,RWS,CA,USA
LeadNumber42,300100188392205,123,LeadName42,40,RWS,CA,USA
LeadNumber43,300100188392205,123,LeadName43,41,RWS,CA,USA
LeadNumber44,300100188392205,123,LeadName44,42,RWS,CA,USA
LeadNumber45,300100188392205,123,LeadName45,43,RWS,CA,USA
